,strain,High,Low
444,mandarin-sunset,15 ,14
445,double-tangie-banana,19 ,16
446,extreme-cream,24 ,17
447,gorilla-blue,22 ,19
448,pineapple-trainwreck,18 ,14
449,white-og,22 ,16
450,grandpas-breath,20 ,17
451,sage-n-sour,20 ,15
452,jack-flash,20 ,16
453,snowball,24 ,21
454,orange-haze,21 ,16
455,blue-kush,18 ,13
456,purple-berry,18 ,14
457,orange-juice,19 ,17
458,jamaican,15 ,10
459,white-fire-43,22 ,17
460,sunshine-daydream,25 ,19
461,mango-tango,20 ,13
462,cannalope-kush,19 ,14
463,la-woman,20 ,15
464,northern-lights--5,21 ,17
465,master-og,22 ,17
466,alien-rift,22 ,18
467,banana-cream-og,23 ,15
468,slimer-og,22 ,19
469,gilz-nilz,20 ,13
470,marmalade,17 ,16
471,purple-sour-diesel,18 ,14
472,lost-coast-og,19 ,18
473,special-sauce,1,0
474,ogre,22 ,17
475,ninja-fruit,20 ,15
476,purple-afghani,19 ,14
477,chocolate-fondue,20 ,19
478,nightmare-cookies,22 ,18
479,bay-dream,20 ,17
480,sinmint-cookies,24 ,19
481,sage,20 ,14
482,maui,21 ,18
483,cactus,22 ,20
484,apollo-13,19 ,18
485,purple-animal-cookies,18 ,18
486,yeti-og,21 ,17
487,martian-candy,22 ,11
488,bubbas-gift,15 ,12
489,purple-raine,19 ,15
490,gorilla-breath,21 ,19
491,green-ribbon,18 ,16
492,white-gorilla,21 ,17
493,querkle,19 ,14
494,sunny-d,20 ,17
495,jah-goo,17 ,14
496,black-cherry-pie,20 ,11
497,trinity,19 ,14
498,game-changer,15 ,14
499,tangie-cookies,20 ,17
500,salmon-river-og,18 ,15
501,sweeties,22 ,19
502,tangilope,17 ,12
503,super-kush,20 ,19
504,granola-funk,25 ,23
505,ancient-og,19 ,16
506,grapefruit-diesel,16 ,11
507,blood-orange-kush,19 ,14
508,hellfire-og,23 ,19
509,lemon-ice,18 ,17
510,burmese-kush,20 ,14
511,biker-kush,19 ,15
512,ice-cream-man,20 ,20
513,head-cheese,24 ,19
514,white-walker-kush,20 ,14
515,kosher-dawg,22 ,16
516,night-nurse,17 ,14
517,walter-white,21 ,18
518,crown-royale,13 ,12
519,og-cheese,14 ,12
520,cbd-critical-cure,6 ,5
521,dairy-queen,18 ,15
522,purple-cream,14 ,9
523,humboldt,21 ,17
524,montana-silvertip,22 ,17
525,super-sour-og,23 ,17
526,purple-tangie,13 ,11
527,nepalese,20 ,18
528,tillamook-strawberry,18 ,14
529,blackberry-fire,18 ,16
530,moose-and-lobsta,24 ,19
531,grandmas-sugar-cookies,18 ,17
532,pineapple-skunk,20 ,17
533,white-lightning,19 ,16
534,la-og,21 ,17
535,the-sauce,22 ,17
536,banana-bread,21 ,15
537,haze-berry,21 ,18
538,albert-walker,19 ,14
539,pineapple-diesel,19 ,14
540,lemon-alien-dawg,19 ,16
541,sugar-kush,19 ,10
542,sour-alien,22 ,19
543,killer-queen,18 ,16
544,dragon-og,22 ,15
545,blue-rhino,18 ,14
546,dragon-fruit,20 ,19
547,future,23 ,16
548,bubblicious,18 ,13
549,romulan-grapefruit,18 ,17
550,bananas,23 ,18
551,sour-power,21 ,19
552,godzilla,22 ,20
553,c4,19 ,18
554,cataract-kush,21 ,15
555,double-og,15 ,15
556,sweet-kush,18 ,16
557,forum-cut-cookies,23 ,20
558,blueberry-ak,18 ,17
559,amherst-sour-diesel,17 ,14
560,grape-cookies,18 ,17
561,locomotion,18 ,15
562,sour-kosher,21 ,17
563,orange-dream,16 ,13
564,oregon-diesel,17 ,14
565,violet-delight,22 ,18
566,chocolate-chunk,20 ,15
567,cuvee,19 ,14
568,jack-haze,17 ,14
569,cbd-kush,9 ,5
570,marionberry-kush,20 ,15
571,white-urkle,21 ,16
572,blue-crack,18 ,16
573,chronic-thunder,19 ,13
574,buddha-tahoe,18 ,14
575,candy-apple,19 ,15
576,durban-cookies,23 ,12
577,emerald-og,18 ,13
578,tangerine-power,19 ,16
579,green-queen,18 ,15
580,skunk-haze,19 ,11
581,snowland,21 ,16
582,boss-hogg,17 ,12
583,pineapple-jack,20 ,14
584,sour-headband,22 ,20
585,bubbleberry,18 ,13
586,frosted-cherry-cookies,22 ,19
587,oregon-lemons,21 ,17
588,chem-cookies,23 ,16
589,shangri-la,18 ,15
590,super-lemon-og,19 ,18
591,chem-scout,23 ,20
592,white-fire-alien-og,22 ,18
593,timewreck,19 ,16
594,madman-og,21 ,18
595,bay-platinum-cookies,21 ,17
596,cracker-jack,21 ,19
597,caramelo,19 ,15
598,gumbo,26 ,21
599,red-cherry-berry,19 ,18
600,sour-candy,20 ,15
601,warlock,15 ,15
602,crown-og,22 ,20
603,aliens-on-moonshine,4 ,4
604,the-guice,21 ,15
605,green-candy,17 ,14
606,tina,21 ,16
607,cherry-kola,17 ,14
608,blue-moonshine,17 ,12
609,sequoia-strawberry,21 ,21
610,frankenstein,21 ,17
611,suzy-q,1,0
612,cbd-mango-haze,4 ,3
613,conspiracy-kush,20 ,17
614,blue-lights,17 ,15
615,blucifer,18 ,13
616,trap-star,22 ,21
617,pineapple-fields,18 ,15
618,in-the-pines,17 ,14
619,hurkle,19 ,15
620,a-train,20 ,17
621,a-dub,25 ,20
622,afgahni-bullrider,19 ,17
623,green-lantern,20 ,17
624,medicine-man,17 ,15
625,medusa,17 ,14
626,mt-hood-magic,27 ,19
627,alien-walker,20 ,17
628,strawberry-cake,18 ,14
629,blackberry-cream,21 ,15
630,berry-bomb,18 ,14
631,green-dragon,22 ,19
632,lemon-cheesecake,19 ,17
633,extreme-og,21 ,15
634,valley-girl,25 ,20
635,tropicana-punch,26 ,20
636,atomic,15 ,14
637,purple-goo,16 ,14
638,black-cherry-cheesecake,20 ,15
639,black-ice,18 ,13
640,silver-surfer,19 ,15
641,lemon-kush-headband,21 ,19
642,purple-frost,19 ,14
643,woody-kush,19 ,18
644,white-diesel,19 ,16
645,cbd-blue-shark,7 ,5
646,chem-valley-kush,25 ,16
647,hogs-breath,21 ,16
648,purple-elephant,19 ,15
649,sour-sunset,20 ,16
650,tangie-dream,20 ,18
651,early-girl,21 ,18
652,purple-headband,24 ,15
653,earth-og,19 ,15
654,purple-wreck,17 ,15
655,saturn-og,19 ,16
656,pure-og,20 ,17
657,diesel-dough,24 ,15
658,lemon-banana-sherbet,21 ,19
659,false-teeth,24 ,18
660,black-haze,16 ,12
661,purple-star,19 ,16
662,cookie-breath,21 ,17
663,mickey-kush,19 ,15
664,crater-lake,20 ,18
665,apollo-11,21 ,17
666,purple-arrow,19 ,16
667,silver-pearl,20 ,16
668,chocolope-kush,19 ,15
669,pandoras-box,19 ,15
670,bubba-cookies,21 ,17
671,strawberry-ice,18 ,16
672,deep-sleep,18 ,15
673,blue-fire,18 ,15
674,og-sour-diesel,19 ,15
675,la-kookies,21 ,17
676,the-one,20 ,15
677,sour-cream,22 ,19
678,ambrosia,20 ,15
679,purple-mr-nice,15 ,11
680,locktite,19 ,16
681,jack-skellington,18 ,15
682,snowman,20 ,11
683,blueberry-jack,18 ,17
684,ghost-cookies,22 ,18
685,the-truth,18 ,16
686,jesus,20 ,16
687,iced-grapefruit,18 ,16
688,critical,18 ,13
689,black-betty,19 ,16
690,brian-berry-cough,17 ,14
691,florida-og,22 ,19
692,fruity-chronic-juice,17 ,13
693,silver-mountain,20 ,19
694,pitbull,19 ,14
695,confidential-cheese,23 ,17
696,darkside-og,19 ,16
697,firewalker-og,21 ,19
698,hammerhead,20 ,13
699,kushage,27 ,22
700,mad-dawg,18 ,15
701,kona-gold,18 ,15
702,sour-strawberry,16 ,14
703,uw,19 ,14
704,samoa-kush,21 ,17
705,birds-of-paradise,19 ,17
706,purple-nepal,19 ,16
707,designer-og,19 ,17
708,strawberry-dream,19 ,18
709,giesel,19 ,16
710,franks-gift,8 ,6
711,the-third-dimension,14 ,13
712,og-strawberry,23 ,17
713,purple-ice,20 ,16
714,twisted-citrus,20 ,15
715,pineberry,17 ,14
716,ko-kush,21 ,15
717,chupacabra,21 ,17
718,white-queen,20 ,15
719,ultraviolet-og,20 ,16
720,gutbuster,18 ,15
721,cherry-vanilla-cookies,19 ,16
722,ripped-bubba,17 ,15
723,alpine-star,23 ,15
724,silver-back,20 ,15
725,silverhawks-og,22 ,18
726,white-ice,20 ,18
727,alien-breath,24 ,20
728,mother-tongue,19 ,15
729,iron-triangle,23 ,19
730,azure-haze,17 ,12
731,tesla,21 ,19
732,jazz,19 ,14
733,scouts-honor,25 ,23
734,la-cheese,23 ,15
735,blue-dynamite,17 ,16
736,tangie-ghost-train,16 ,11
737,strawberry-blue,16 ,14
738,alien-cookies,22 ,16
739,killer-grape,16 ,15
740,cheese-candy,18 ,15
741,dream-beaver,22 ,18
742,purple-paralysis,17 ,17
743,the-flav,18 ,14
744,belladonna,17 ,10
745,platinum-wreck,20 ,19
746,limon,25 ,20
747,banana-sorbet,25 ,16
748,karma-og,21 ,20
749,big-sur-holy-bud,19 ,17
750,pineapple-sage,22 ,19
751,pineapple-thai,17 ,14
752,cbd-og,27 ,16
753,grimace-og,19 ,15
754,ocd,24 ,13
755,pearl-scout-cookies,25 ,12
756,black-magic,18 ,15
757,sweet-jane,19 ,17
758,raw-diesel,20 ,19
759,crocketts-confidential,22 ,20
760,blackberry-trainwreck,17 ,14
761,banana-peel,15 ,14
762,bubble-bomb,19 ,16
763,kaboom,16 ,13
764,desert-diesel,20 ,17
765,tina-danza,24 ,17
766,caramel-cake,21 ,17
767,morning-glory,19 ,18
768,wookies-cookies,16 ,14
769,huckleberry-diesel,22 ,20
770,valentine-x,1,0
771,animal-gas,22 ,19
772,k1,24 ,13
773,horace,24 ,24
774,burnt-cookies,18 ,17
775,alpine-blue,18 ,14
776,sour-sorbet,19 ,17
777,djs-gold,18 ,13
778,wtf,21 ,15
779,durban-kush,17 ,13
780,lucid-bolt,16 ,15
781,black-cheese,17 ,16
782,ogre-berry,17 ,15
783,sour-ape,23 ,18
784,chocolate-rain,26 ,21
785,daywalker,21 ,15
786,true-love,21 ,18
787,berry-blossom,17 ,14
788,lemonder,20 ,16
789,qleaner,16 ,15
790,sour-dog,20 ,15
791,white-super-skunk,21 ,18
792,star-tonic,4 ,3
793,deep-cheese,16 ,14
794,crocketts-dog,20 ,18
795,el-perro,21 ,19
796,strawberry-gum,25 ,20
797,black-84,20 ,14
798,als-dream,18 ,18
799,silver-la,18 ,12
800,strawberry-satori,20 ,16
801,jungle-spice,19 ,15
802,frozen-tangerines,16 ,15
803,space-monster,23 ,21
804,pvc-og,23 ,21
805,royal-salute,14 ,12
806,skunk-plus,18 ,13
807,purps-og,19 ,14
808,afghooey,18 ,14
809,seor-jack,19 ,18
810,trinity-kush,17 ,14
811,skunk-plus,18 ,13
812,daybreaker,19 ,16
813,bubba-76,16 ,13
