,strain,High,Low
389,permafrost,1,0
390,pink-starburst,1,0
391,chocolate-hashberry,1,0
392,sour-grape,1,0
393,dragons-breath,1,0
394,strawberry-fields,1,0
395,mars-og,1,0
396,chiquita-banana,1,0
397,elektra,16 ,12
398,allen-wrench,1,0
399,suver-haze,1,0
400,blue-mystic,1,0
401,mothers-milk,1,0
402,lee-roy,1,0
403,grape-pie,1,0
404,space-cake,1,0
405,aurora-indica,1,0
406,pineapple-og,1,0
407,goo,1,0
408,apple-kush,1,0
409,cherry-cookies,1,0
410,rainmaker,1,0
411,sour-patch-kiss,1,0
412,kryptonite,1,0
413,inzane-in-the-membrane,1,0
414,space-candy,1,0
415,blue-diamond,1,0
416,matanuska-thunder-fuck,1,0
417,afgooey,1,0
418,purple-panty-dropper,1,0
419,super-blue-dream,1,0
420,ringos-gift,14 ,9
421,purple-monkey-balls,1,0
422,grape-soda,1,0
423,pine-tar-kush,1,0
424,blue-hawaiian,1,0
425,strawberry-og,1,0
426,fortune-cookies,1,0
427,lemonberry,1,0
428,orange-sherbert,1,0
429,lemon-jack,1,0
430,critical-jack,1,0
431,whitewalker-og,1,0
432,memory-loss,1,0
433,lemon-garlic-og,9 ,6
434,deathstar-og,1,0
435,honey-bananas,1,0
436,lime-skunk,1,0
437,candy-cane,1,0
438,wonder-woman,1,0
439,22,1,0
440,pie-face-og,1,0
441,night-terror-og,1,0
442,ak-48,1,0
443,orange-cream,1,0
444,mandarin-sunset,1,0
445,double-tangie-banana,1,0
446,extreme-cream,1,0
447,gorilla-blue,1,0
448,pineapple-trainwreck,1,0
449,white-og,1,0
450,grandpas-breath,1,0
451,sage-n-sour,1,0
452,jack-flash,1,0
453,snowball,1,0
454,orange-haze,1,0
455,blue-kush,1,0
456,purple-berry,1,0
457,orange-juice,1,0
458,jamaican,1,0
459,white-fire-43,1,0
460,sunshine-daydream,1,0
461,mango-tango,1,0
462,cannalope-kush,1,0
463,la-woman,1,0
464,northern-lights--5,1,0
465,master-og,1,0
466,alien-rift,1,0
467,banana-cream-og,1,0
468,slimer-og,1,0
469,gilz-nilz,1,0
470,marmalade,1,0
471,purple-sour-diesel,1,0
472,lost-coast-og,1,0
473,special-sauce,15 ,11
474,ogre,1,0
475,ninja-fruit,1,0
476,purple-afghani,1,0
477,chocolate-fondue,1,0
478,nightmare-cookies,1,0
479,bay-dream,1,0
480,sinmint-cookies,1,0
481,sage,1,0
482,maui,1,0
483,cactus,1,0
484,apollo-13,1,0
485,purple-animal-cookies,1,0
486,yeti-og,1,0
487,martian-candy,1,0
488,bubbas-gift,1,0
489,purple-raine,1,0
490,gorilla-breath,1,0
491,green-ribbon,1,0
492,white-gorilla,1,0
493,querkle,1,0
494,sunny-d,1,0
495,jah-goo,1,0
496,black-cherry-pie,1,0
497,trinity,1,0
498,game-changer,1,0
499,tangie-cookies,1,0
500,salmon-river-og,1,0
501,sweeties,1,0
502,tangilope,1,0
503,super-kush,1,0
504,granola-funk,1,0
505,ancient-og,1,0
506,grapefruit-diesel,1,0
507,blood-orange-kush,1,0
508,hellfire-og,1,0
509,lemon-ice,1,0
510,burmese-kush,1,0
511,biker-kush,1,0
512,ice-cream-man,1,0
513,head-cheese,1,0
514,white-walker-kush,1,0
515,kosher-dawg,1,0
516,night-nurse,1,0
517,walter-white,1,0
518,crown-royale,1,0
519,og-cheese,1,0
520,cbd-critical-cure,11 ,8
521,dairy-queen,1,0
522,purple-cream,1,0
523,humboldt,1,0
524,montana-silvertip,1,0
525,super-sour-og,1,0
526,purple-tangie,1,0
527,nepalese,1,0
528,tillamook-strawberry,1,0
529,blackberry-fire,1,0
530,moose-and-lobsta,1,0
531,grandmas-sugar-cookies,1,0
532,pineapple-skunk,1,0
533,white-lightning,1,0
534,la-og,1,0
535,the-sauce,1,0
536,banana-bread,1,0
537,haze-berry,1,0
538,albert-walker,1,0
539,pineapple-diesel,1,0
540,lemon-alien-dawg,1,0
541,sugar-kush,1,0
542,sour-alien,1,0
543,killer-queen,1,0
544,dragon-og,1,0
545,blue-rhino,1,0
546,dragon-fruit,1,0
547,future,1,0
548,bubblicious,1,0
549,romulan-grapefruit,1,0
550,bananas,1,0
551,sour-power,1,0
552,godzilla,1,0
553,c4,1,0
554,cataract-kush,1,0
555,double-og,1,0
556,sweet-kush,1,0
557,forum-cut-cookies,1,0
558,blueberry-ak,1,0
559,amherst-sour-diesel,1,0
560,grape-cookies,1,0
561,locomotion,1,0
562,sour-kosher,1,0
563,orange-dream,1,0
564,oregon-diesel,1,0
565,violet-delight,1,0
566,chocolate-chunk,1,0
567,cuvee,1,0
568,jack-haze,1,0
569,cbd-kush,10 ,6
570,marionberry-kush,1,0
571,white-urkle,1,0
572,blue-crack,1,0
573,chronic-thunder,1,0
574,buddha-tahoe,1,0
575,candy-apple,1,0
576,durban-cookies,1,0
577,emerald-og,1,0
578,tangerine-power,1,0
579,green-queen,1,0
580,skunk-haze,1,0
581,snowland,1,0
582,boss-hogg,1,0
583,pineapple-jack,1,0
584,sour-headband,1,0
585,bubbleberry,1,0
586,frosted-cherry-cookies,1,0
587,oregon-lemons,1,0
588,chem-cookies,1,0
589,shangri-la,1,0
590,super-lemon-og,1,0
591,chem-scout,1,0
592,white-fire-alien-og,1,0
593,timewreck,1,0
594,madman-og,1,0
595,bay-platinum-cookies,1,0
596,cracker-jack,1,0
597,caramelo,1,0
598,gumbo,1,0
599,red-cherry-berry,1,0
600,sour-candy,1,0
601,warlock,1,0
602,crown-og,1,0
603,aliens-on-moonshine,11 ,8
604,the-guice,1,0
605,green-candy,1,0
606,tina,1,0
607,cherry-kola,1,0
608,blue-moonshine,1,0
609,sequoia-strawberry,1,0
610,frankenstein,1,0
611,suzy-q,11 ,10
612,cbd-mango-haze,7 ,6
613,conspiracy-kush,1,0
614,blue-lights,1,0
615,blucifer,1,0
616,trap-star,1,0
617,pineapple-fields,1,0
618,in-the-pines,1,0
619,hurkle,1,0
620,a-train,1,0
621,a-dub,1,0
622,afgahni-bullrider,1,0
623,green-lantern,1,0
624,medicine-man,1,0
625,medusa,1,0
626,mt-hood-magic,1,0
627,alien-walker,1,0
628,strawberry-cake,1,0
629,blackberry-cream,1,0
630,berry-bomb,1,0
631,green-dragon,1,0
632,lemon-cheesecake,1,0
633,extreme-og,1,0
634,valley-girl,1,0
635,tropicana-punch,1,0
636,atomic,1,0
637,purple-goo,1,0
638,black-cherry-cheesecake,1,0
639,black-ice,1,0
640,silver-surfer,1,0
641,lemon-kush-headband,1,0
642,purple-frost,1,0
643,woody-kush,1,0
644,white-diesel,1,0
645,cbd-blue-shark,9 ,6
646,chem-valley-kush,1,0
647,hogs-breath,1,0
648,purple-elephant,1,0
649,sour-sunset,1,0
650,tangie-dream,1,0
651,early-girl,1,0
652,purple-headband,1,0
653,earth-og,1,0
654,purple-wreck,1,0
655,saturn-og,1,0
656,pure-og,1,0
657,diesel-dough,1,0
658,lemon-banana-sherbet,1,0
659,false-teeth,1,0
660,black-haze,1,0
661,purple-star,1,0
662,cookie-breath,1,0
663,mickey-kush,1,0
664,crater-lake,1,0
665,apollo-11,1,0
666,purple-arrow,1,0
667,silver-pearl,1,0
668,chocolope-kush,1,0
669,pandoras-box,1,0
670,bubba-cookies,1,0
671,strawberry-ice,1,0
672,deep-sleep,1,0
673,blue-fire,1,0
674,og-sour-diesel,1,0
675,la-kookies,1,0
676,the-one,1,0
677,sour-cream,1,0
678,ambrosia,1,0
679,purple-mr-nice,1,0
680,locktite,1,0
681,jack-skellington,1,0
682,snowman,1,0
683,blueberry-jack,1,0
684,ghost-cookies,1,0
685,the-truth,1,0
686,jesus,1,0
687,iced-grapefruit,1,0
688,critical,1,0
689,black-betty,1,0
690,brian-berry-cough,1,0
691,florida-og,1,0
692,fruity-chronic-juice,1,0
693,silver-mountain,1,0
694,pitbull,1,0
695,confidential-cheese,1,0
696,darkside-og,1,0
697,firewalker-og,1,0
698,hammerhead,1,0
699,kushage,1,0
700,mad-dawg,1,0
701,kona-gold,1,0
702,sour-strawberry,1,0
703,uw,1,0
704,samoa-kush,1,0
705,birds-of-paradise,1,0
706,purple-nepal,1,0
707,designer-og,1,0
708,strawberry-dream,1,0
709,giesel,1,0
710,franks-gift,13 ,8
711,the-third-dimension,1,0
712,og-strawberry,1,0
713,purple-ice,1,0
714,twisted-citrus,1,0
715,pineberry,1,0
716,ko-kush,1,0
717,chupacabra,1,0
718,white-queen,1,0
719,ultraviolet-og,1,0
720,gutbuster,1,0
721,cherry-vanilla-cookies,1,0
722,ripped-bubba,1,0
723,alpine-star,1,0
724,silver-back,1,0
725,silverhawks-og,1,0
726,white-ice,1,0
727,alien-breath,1,0
728,mother-tongue,1,0
729,iron-triangle,1,0
730,azure-haze,1,0
731,tesla,1,0
732,jazz,1,0
733,scouts-honor,1,0
734,la-cheese,1,0
735,blue-dynamite,1,0
736,tangie-ghost-train,1,0
737,strawberry-blue,1,0
738,alien-cookies,1,0
739,killer-grape,1,0
740,cheese-candy,1,0
741,dream-beaver,1,0
742,purple-paralysis,1,0
743,the-flav,1,0
744,belladonna,1,0
745,platinum-wreck,1,0
746,limon,1,0
747,banana-sorbet,1,0
748,karma-og,1,0
749,big-sur-holy-bud,1,0
750,pineapple-sage,1,0
751,pineapple-thai,1,0
752,cbd-og,1,0
753,grimace-og,1,0
754,ocd,1,0
755,pearl-scout-cookies,1,0
756,black-magic,1,0
757,sweet-jane,1,0
758,raw-diesel,1,0
759,crocketts-confidential,1,0
760,blackberry-trainwreck,1,0
761,banana-peel,1,0
762,bubble-bomb,1,0
763,kaboom,1,0
764,desert-diesel,1,0
765,tina-danza,1,0
766,caramel-cake,1,0
767,morning-glory,1,0
768,wookies-cookies,1,0
769,huckleberry-diesel,1,0
770,valentine-x,15 ,12
771,animal-gas,1,0
772,k1,1,0
773,horace,1,0
774,burnt-cookies,1,0
775,alpine-blue,1,0
776,sour-sorbet,1,0
777,djs-gold,1,0
778,wtf,1,0
779,durban-kush,1,0
780,lucid-bolt,1,0
781,black-cheese,1,0
782,ogre-berry,1,0
783,sour-ape,1,0
784,chocolate-rain,1,0
785,daywalker,1,0
786,true-love,1,0
787,berry-blossom,1,0
788,lemonder,1,0
789,qleaner,1,0
790,sour-dog,1,0
791,white-super-skunk,1,0
792,star-tonic,8 ,7
793,deep-cheese,1,0
794,crocketts-dog,1,0
795,el-perro,1,0
796,strawberry-gum,1,0
797,black-84,1,0
798,als-dream,1,0
799,silver-la,1,0
800,strawberry-satori,1,0
801,jungle-spice,1,0
802,frozen-tangerines,1,0
803,space-monster,1,0
804,pvc-og,1,0
805,royal-salute,1,0
806,skunk-plus,1,0
807,purps-og,1,0
808,afghooey,1,0
809,seor-jack,1,0
810,trinity-kush,1,0
811,skunk-plus,1,0
812,daybreaker,1,0
813,bubba-76,1,0
