,strain,Myrcene,Pinene,Caryophyllene,Limonene,Humulene,Terpinolene,Linalool,Ocimene
150,orange-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,super-skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,agent-orange,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
153,chernobyl,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
154,watermelon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,grapefruit,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
156,black-jack,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
157,gorilla-grapes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,death-bubba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,diamond-og,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
160,gary-payton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,sensi-star,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
162,monster-cookies,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
163,cereal-milk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,cotton-candy-kush,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
165,blackwater,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
166,space-queen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,godfather-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
168,shishkaberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,mango,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
170,triangle-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
171,blackberry,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
172,3-kings,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
173,gelato-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,juicy-fruit,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
175,lemon-tree,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
176,motorbreath,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
177,mr-nice,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
178,flo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,romulan,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
180,rockstar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,pineapple-kush,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
182,og-18,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
183,lemon-meringue,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
184,orange-creamsicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,mango-haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,obama-kush,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
187,laughing-buddha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,blueberry-headband,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,orange-crush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,cheese-quake,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
191,god-bud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,blue-zkittlez,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
193,rainbow,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
194,sour-kush,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
195,white-russian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,pineapple,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
197,sweet-tooth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,white-tahoe-cookies,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
199,northern-hashplant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,purple-trainwreck,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
201,dogwalker-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
202,jr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,lemon-diesel,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
204,white-shark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,ogkb,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
206,jungle-cake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,pineapple-chunk,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
208,xxx-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
209,purple-diesel,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
210,nuken,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
211,jack-frost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,charlottes-web,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
213,space-bomb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,mandarin-cookies,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
215,black-domina,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
216,strawberry-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,star-killer,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
218,remedy,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
219,white-runtz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,mochi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,tutankhamon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,pennywise,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
223,big-bud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,sugar-cookie,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
225,uk-cheese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,california-orange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,hash-plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,east-coast-sour-diesel,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
229,pre-98-bubba-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
230,power-plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,cat-piss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,cali-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,j1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
234,alien-dawg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,london-poundcake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,face-off-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
237,goji-og,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
238,colombian-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,strawberry-shortcake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,king-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,deadhead-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
242,lavender,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
243,707-headband,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
244,banana-split,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
245,liberty-haze,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
246,sour-apple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,wookies,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
248,3x-crazy,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
249,bubblegum-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,dream-queen,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
251,strawberry-cheesecake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,dolato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,mendocino-purps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,hawaiian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,pink-lemonade,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
256,guava-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,lemonchello-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,thc-bomb,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
259,chronic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,sunset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,red-dragon,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
262,100-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,pink-cookies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,purple-og-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,candy-jack,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
266,puck-yeah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,white-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,paris-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
269,cinex,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
270,pink-panties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,peyote-cookies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,skywalker-alien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,gods-green-crack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,orange-bud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,double-dream,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
276,presidential-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,rudeboi-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
278,chemdawg-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,diablo,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
280,chemdawg-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,golden-pineapple,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
282,zombie-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,black-mamba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,kimbo-kush,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
285,strawberry-diesel,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
286,bubba-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,jack-the-ripper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,cherry-diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,harle-tsu,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
290,jean-guy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,blueberry-cookies,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
292,purple-candy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,afgoo,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
294,ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,sour-banana-sherbet,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
296,sour-grapes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,banjo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,snowcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,lucky-charms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,violator-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,black-cherry-soda,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
302,vanilla-kush,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
303,yoda-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,peanut-butter-breath,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
305,legend-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
306,cherry-kush,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
307,sour-cookies,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
308,boss-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
309,sherblato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,kali-mist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,black-widow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,royal-highness,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
313,sour-tsunami,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
314,white-cookies,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
315,jesus-og,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
316,el-chapo-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,strawberry-switchblade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,pineapple-upside-down-cake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,sunshine,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
320,strawberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,cookie-dough,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
322,phantom-cookies,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
323,thai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,og-chem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,sfv-og-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,hells-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
327,apple-jack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,la-cake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,blue-widow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,golden-lemon,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
331,purple-gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,watermelon-zkittlez,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
333,incredible-hulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,g13-haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,headbanger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,pure-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,tangerine-haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,alien-rock-candy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,hawaiian-punch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,blueberry-cheesecake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
